open,high,low,close,volume
1.17679,1.17688,1.17679,1.17687,46
1.17687,1.17687,1.17663,1.17664,44
1.17663,1.17664,1.17633,1.1764000000000001,58
1.17644,1.17646,1.17619,1.17619,31
1.1762,1.17629,1.1761,1.1761,55
1.1761,1.17628,1.17605,1.17626,34
1.17626,1.17638,1.17626,1.17631,39
1.17632,1.17642,1.17631,1.17636,11
1.17639,1.17643,1.17634,1.17637,31
1.17637,1.1764000000000001,1.17635,1.17637,15
1.17638,1.17638,1.17626,1.17627,28
1.17628,1.17629,1.17611,1.17619,31
1.1762,1.17638,1.17619,1.17636,47
1.17635,1.17635,1.17626,1.17631,31
1.17627,1.17636,1.17625,1.17632,31
1.17632,1.17637,1.1762299999999999,1.17624,20
1.17627,1.17633,1.17627,1.17632,44
1.17633,1.17641,1.17631,1.17641,33
1.17643,1.17644,1.17635,1.17642,16
1.17643,1.17654,1.17631,1.17634,30
1.17635,1.1764000000000001,1.17627,1.17633,44
1.17633,1.17636,1.17631,1.17636,35
1.17636,1.17637,1.17632,1.17634,40
1.17635,1.17639,1.17632,1.17636,35
1.17637,1.17646,1.17633,1.17638,43
1.17637,1.17654,1.17626,1.17654,83
1.17654,1.17662,1.17631,1.17651,70
1.17651,1.1766,1.17606,1.17645,149
1.17647,1.17681,1.17635,1.17653,126
1.17652,1.17666,1.17639,1.17658,99
1.17658,1.17668,1.17645,1.17663,87
1.17664,1.1768,1.1764999999999999,1.1768,77
1.1768,1.1768399999999999,1.17654,1.17656,87
1.17656,1.17661,1.17653,1.17654,73
1.17658,1.17668,1.17655,1.17665,55
1.17667,1.17689,1.17667,1.17673,50
1.17673,1.17683,1.17669,1.17682,52
1.17683,1.17696,1.17683,1.17695,20
1.17696,1.17705,1.17693,1.17704,48
1.17704,1.17716,1.17688,1.1769,59
1.17689,1.17702,1.17677,1.1770100000000001,59
1.17702,1.17718,1.177,1.17716,45
1.17715,1.17721,1.17706,1.17716,39
1.17715,1.17717,1.17694,1.17694,53
1.17694,1.17698,1.17689,1.17697,27
1.17696,1.17719,1.17687,1.17719,57
1.17716,1.17719,1.17715,1.17718,26
1.17717,1.17776,1.17708,1.1777199999999999,47
1.17773,1.17783,1.17758,1.17777,78
1.17779,1.1778,1.17758,1.1776,56
1.1776,1.17773,1.17758,1.17773,47
1.17771,1.17778,1.17767,1.1777199999999999,21
1.17771,1.17783,1.17763,1.17778,45
1.17777,1.17791,1.1777199999999999,1.17782,37
1.17781,1.17784,1.17768,1.17781,46
